date,saving_est_krw,saving_cum_krw
2025-12-24,8365660,8365660
2025-12-25,6752019,15117679
2025-12-26,8900541,24018220
2025-12-27,6328677,30346897
2025-12-28,2858757,33205654
2025-12-29,6437384,39643038
2025-12-30,8153408,47796446
2025-12-31,7620508,55416954
2026-01-01,7979838,63396792
2026-01-02,6976347,70373139
2026-01-03,6255277,76628416
2026-01-04,6133350,82761766
2026-01-05,8079236,90841002
2026-01-06,9352689,100193691
2026-01-07,8561011,108754702
2026-01-08,6968849,115723551
2026-01-09,8442500,124166051
2026-01-10,4049340,128215391
2026-01-11,6254140,134469531
2026-01-12,7940088,142409619
2026-01-13,7778165,150187784
2026-01-14,7182884,157370668
2026-01-15,9467049,166837717
2026-01-16,7814564,174652281
2026-01-17,4686006,179338287
2026-01-18,4777439,184115726
2026-01-19,8638771,192754497
2026-01-20,8438532,201193029
2026-01-21,8495279,209688308
2026-01-22,8516985,218205293
2026-01-23,10569977,228775270
2026-01-24,4712301,233487571
2026-01-25,4585308,238072879
2026-01-26,7023472,245096351
2026-01-27,8739175,253835526
2026-01-28,9354766,263190292
2026-01-29,7863263,271053555
2026-01-30,6991812,278045367
2026-01-31,4210622,282255989
2026-02-01,5980711,288236700
2026-02-02,8891905,297128605
2026-02-03,8651785,305780390
2026-02-04,7201388,312981778
2026-02-05,8278593,321260371
2026-02-06,8140022,329400393
2026-02-07,5462426,334862819
2026-02-08,6245714,341108533
2026-02-09,8268314,349376847
2026-02-10,8814696,358191543
2026-02-11,8081094,366272637
2026-02-12,8346943,374619580
2026-02-13,8757545,383377125
2026-02-14,3451413,386828538
2026-02-15,4816394,391644932
2026-02-16,7435552,399080484
2026-02-17,7233346,406313830
2026-02-18,7669829,413983659
2026-02-19,9793929,423777588
2026-02-20,6961002,430738590
2026-02-21,6361934,437100524
